PER,TOTAL,T,BSL,FI	5471753 	5561792 	5697608 	5722378 	5687527 	5654618 	5626229 	5577757 
PER,TOTAL,T,BSL,FR	66415161 	67818978 	70525154 	72915525 	74376832 	75525269 	76946531 	78688730 
PER,TOTAL,T,BSL,HR	4225316 	4091559 	3954893 	3819863 	3674791 	3533771 	3401757 	3276481 
PER,TOTAL,T,BSL,HU	9855571 	9789630 	9665170 	9471313 	9287196 	9119692 	8883760 	8691906 
PER,TOTAL,T,BSL,IE	4628949 	4852123 	5146475 	5396380 	5693430 	5898111 	6034648 	6220907 
PER,TOTAL,T,BSL,IT	60795612 	60718572 	60350475 	59982002 	58968137 	56948693 	54935591 	53784578 
PER,TOTAL,T,BSL,LT	2921262 	2749762 	2410874 	2128883 	1957377 	1837895 	1724332 	1658478 
PER,TOTAL,T,BSL,LU	562958 	628950 	754522 	860808 	938416 	992924 	1035348 	1066377 
PER,TOTAL,T,BSL,LV	1986096 	1911668 	1743960 	1598786 	1506055 	1426615 	1342823 	1284285 
PER,TOTAL,T,BSL,MT	429344 	452542 	488632 	505921 	513081 	519214 	520864 	517254 
PER,TOTAL,T,BSL,NL	16900726 	17410756 	18393443 	19035643 	19235467 	19323324 	19538736 	19728275 
PER,TOTAL,T,BSL,NO	5166493 	5403704 	5878930 	6268216 	6568489 	6807913 	7005719 	7166280 
PER,TOTAL,T,BSL,PL	38005614 	37930818 	37213790 	35840028 	34372849 	32848275 	30966156 	29044721 
PER,TOTAL,T,BSL,PT	10374822 	10209628 	9880173 	9553608 	9116350 	8552352 	8008741 	7579557 
PER,TOTAL,T,BSL,RO	19870647 	19259049 	18023954 	17069777 	16331359 	15698753 	15015303 	14530142 
PER,TOTAL,T,BSL,SE	9747355 	10293412 	11237236 	11994364 	12681084 	13284780 	13842072 	14388478 
PER,TOTAL,T,BSL,SI	2062874 	2075778 	2080145 	2066086 	2045090 	2000454 	1956522 	1938449 
PER,TOTAL,T,BSL,SK	5421349 	5458718 	5464199 	5373043 	5261609 	5114570 	4908905 	4714770 
PER,TOTAL,T,BSL,UK	64875165 	67236507 	71563991 	75004352 	77568588 	79338994 	80959872 	82424395 
