"year","country.name","agriculture.ghg.emissions.mio.tonnes","energy.ghg.emissions.mio.tonnes","industry.ghg.emissions.mio.tonnes","total.ghg.emissions.mio.tonnes","transport.ghg.emissions.mio.tonnes","waste.ghg.emissions.mio.tonnes","ghg.emissions.indexed","ghg.emissions.per.capita.tonnes","EU28.agriculture.ghg.emissions.mio.tonnes","EU28.energy.ghg.emissions.mio.tonnes","EU28.industry.ghg.emissions.mio.tonnes","EU28.total.ghg.emissions.mio.tonnes","EU28.transport.ghg.emissions.mio.tonnes","EU28.waste.ghg.emissions.mio.tonnes","EU28.ghg.emissions.indexed","EU28.ghg.emissions.per.capita.tonnes","agriculture.ghg.emissions.national.share","energy.ghg.emissions.national.share","industry.ghg.emissions.national.share","transport.ghg.emissions.national.share","waste.ghg.emissions.national.share","agriculture.ghg.emissions.EU28.share","energy.ghg.emissions.EU28.share","industry.ghg.emissions.EU28.share","total.ghg.emissions.EU28.share","transport.ghg.emissions.EU28.share","waste.ghg.emissions.EU28.share"
2006,"Italy",31.7,159.1,43.3,570,129.7,21.3,110.8,10,434.3,1610.2,464.7,5214.5,986,195.8,93.4,10.7,0.0556,0.2791,0.076,0.2275,0.0374,0.073,0.0988,0.0932,0.1093,0.1315,0.1088
2007,"Italy",32.3,156.4,43.4,560.6,129.5,21,109.4,9.8,436.7,1619.7,476,5162.4,995.4,189.1,92.7,10.6,0.0576,0.279,0.0774,0.231,0.0375,0.074,0.0966,0.0912,0.1086,0.1301,0.1111
2008,"Italy",31.4,155.5,41,547.8,122.4,20.4,106.7,9.5,433.9,1548.1,450.8,5047,970.7,181.1,90.6,10.3,0.0573,0.2839,0.0748,0.2234,0.0372,0.0724,0.1004,0.0909,0.1085,0.1261,0.1126
2009,"Italy",30.7,133.2,35.8,496.2,116.8,20.6,96.3,8.5,427.8,1424.2,376.8,4681.9,943.2,175.1,84,9.6,0.0619,0.2684,0.0721,0.2354,0.0415,0.0718,0.0935,0.095,0.106,0.1238,0.1176
2010,"Italy",30,136.7,36.7,505.8,115.2,20.4,98.1,8.7,423.4,1450.9,394.3,4783.6,937.6,167.8,85.8,9.7,0.0593,0.2703,0.0726,0.2278,0.0403,0.0709,0.0942,0.0931,0.1057,0.1229,0.1216
2011,"Italy",30.5,133,37,492.5,114.2,19.8,95.8,8.4,423.9,1425.2,389.8,4626.4,925.5,162.1,83.1,9.4,0.0619,0.2701,0.0751,0.2319,0.0402,0.072,0.0933,0.0949,0.1065,0.1234,0.1221
2012,"Italy",31.1,128.3,34.2,472.7,106.5,19.9,92,8.1,421.7,1417.9,377.3,4563.1,896,157.9,82,9.3,0.0658,0.2714,0.0724,0.2253,0.0421,0.0737,0.0905,0.0906,0.1036,0.1189,0.126
2013,"Italy",30.3,108.8,33.1,442.7,103.8,18.6,86.1,7.5,425.2,1342.3,375.3,4468.9,888.7,151.2,80.4,9.1,0.0684,0.2458,0.0748,0.2345,0.042,0.0713,0.0811,0.0882,0.0991,0.1168,0.123
2014,"Italy",29.9,100.2,32.6,426.2,108.6,18.5,83.1,7.1,432.9,1258.2,381.3,4297.6,896.1,145.5,77.4,8.7,0.0702,0.2351,0.0765,0.2548,0.0434,0.0691,0.0796,0.0855,0.0992,0.1212,0.1271
2015,"Italy",30.1,105.8,32.6,434,106,18.6,84.7,7.3,433.8,1245.2,376.7,4327.3,913.3,143.2,78,8.8,0.0694,0.2438,0.0751,0.2442,0.0429,0.0694,0.085,0.0865,0.1003,0.1161,0.1299
2016,"Italy",31,104.4,32.6,432.1,103.1,18.3,83.9,7.2,434.8,1197.9,373.7,4303.4,932.5,140.1,77.6,8.7,0.0717,0.2416,0.0754,0.2386,0.0424,0.0713,0.0872,0.0872,0.1004,0.1106,0.1306
1990,"Latvia",5.6,6.2,0.7,26.3,3,0.7,100,10,543.3,1675.7,517.2,5649.5,793.2,240.4,100,12,0.2129,0.2357,0.0266,0.1141,0.0266,0.0103,0.0037,0.0014,0.0047,0.0038,0.0029
1991,"Latvia",5.2,5.7,0.6,24.4,2.8,0.7,92.9,9.4,512.1,1641.5,482.5,5555,800.4,244,98.3,11.8,0.2131,0.2336,0.0246,0.1148,0.0287,0.0102,0.0035,0.0012,0.0044,0.0035,0.0029
1992,"Latvia",4.2,4.9,0.3,19.6,2.5,0.7,74.2,7.6,489.6,1582.7,464,5379.8,823.9,246.1,95.3,11.4,0.2143,0.25,0.0153,0.1276,0.0357,0.0086,0.0031,6e-04,0.0036,0.003,0.0028
1993,"Latvia",3.1,4,0.1,16.2,2.3,0.6,61.3,6.4,477.2,1515.7,455.4,5281.5,828.3,247,93.6,11.1,0.1914,0.2469,0.0062,0.142,0.037,0.0065,0.0026,2e-04,0.0031,0.0028,0.0024
1994,"Latvia",2.8,3.7,0.2,14.3,2.2,0.6,54.2,5.7,471.2,1522.5,483.3,5255.3,834.9,246.6,93.2,11.1,0.1958,0.2587,0.014,0.1538,0.042,0.0059,0.0024,4e-04,0.0027,0.0026,0.0024
1995,"Latvia",2.6,3.4,0.2,12.9,2.1,0.6,48.9,5.2,472.6,1524.1,498.4,5308.5,847.3,247.4,94.2,11.2,0.2016,0.2636,0.0155,0.1628,0.0465,0.0055,0.0022,4e-04,0.0024,0.0025,0.0024
1996,"Latvia",2.6,3.6,0.2,12.9,2.1,0.6,49.1,5.3,474.1,1553.4,499.6,5418.7,873.6,246.6,96.2,11.4,0.2016,0.2791,0.0155,0.1628,0.0465,0.0055,0.0023,4e-04,0.0024,0.0024,0.0024
1997,"Latvia",2.5,3.3,0.2,12.4,2.1,0.6,46.9,5.2,471.1,1508.7,505.1,5326.3,884.9,243.6,94.5,11.2,0.2016,0.2661,0.0161,0.1694,0.0484,0.0053,0.0022,4e-04,0.0023,0.0024,0.0025
1998,"Latvia",2.4,3.4,0.2,11.9,2,0.7,45,5,468.2,1525.5,482.4,5281.5,914.1,240.2,93.8,11,0.2017,0.2857,0.0168,0.1681,0.0588,0.0051,0.0022,4e-04,0.0023,0.0022,0.0029
1999,"Latvia",2.2,3,0.3,11.1,2,0.7,42,4.7,466.6,1480.3,442.9,5172.6,932.1,234.7,92,10.8,0.1982,0.2703,0.027,0.1802,0.0631,0.0047,0.002,7e-04,0.0021,0.0021,0.003
2000,"Latvia",2.2,2.5,0.2,10.5,2.2,0.7,39.8,4.5,461.3,1511.2,455.6,5168.9,926.9,231.5,92.3,10.8,0.2095,0.2381,0.019,0.2095,0.0667,0.0048,0.0017,4e-04,0.002,0.0024,0.003
2001,"Latvia",2.4,2.4,0.3,11.1,2.6,0.7,42,4.8,455,1553.5,440.4,5223.1,940,227.4,93.3,10.9,0.2162,0.2162,0.027,0.2342,0.0631,0.0053,0.0015,7e-04,0.0021,0.0028,0.0031
2002,"Latvia",2.3,2.3,0.3,11,2.7,0.7,41.9,4.8,448,1570.5,436.6,5182.9,951.3,223.5,92.4,10.8,0.2091,0.2091,0.0273,0.2455,0.0636,0.0051,0.0015,7e-04,0.0021,0.0028,0.0031
2003,"Latvia",2.4,2.3,0.3,11.2,2.8,0.6,42.7,5,444,1620.7,450.4,5265.6,960.3,217.4,94,10.9,0.2143,0.2054,0.0268,0.25,0.0536,0.0054,0.0014,7e-04,0.0021,0.0029,0.0028
2004,"Latvia",2.3,2.1,0.3,11.2,3,0.6,42.7,5,444.7,1609.2,466.9,5265.4,979.6,208.9,94.1,10.9,0.2054,0.1875,0.0268,0.2679,0.0536,0.0052,0.0013,6e-04,0.0021,0.0031,0.0029
2005,"Latvia",2.4,2.1,0.3,11.4,3.1,0.6,43.6,5.2,438,1599.2,465.8,5228.4,978.8,202,93.6,10.8,0.2105,0.1842,0.0263,0.2719,0.0526,0.0055,0.0013,6e-04,0.0022,0.0032,0.003
2006,"Latvia",2.4,2.1,0.4,11.9,3.4,0.6,45.6,5.5,434.3,1610.2,464.7,5214.5,986,195.8,93.4,10.7,0.2017,0.1765,0.0336,0.2857,0.0504,0.0055,0.0013,9e-04,0.0023,0.0034,0.0031
2007,"Latvia",2.5,2,0.4,12.3,3.9,0.6,47.4,5.8,436.7,1619.7,476,5162.4,995.4,189.1,92.7,10.6,0.2033,0.1626,0.0325,0.3171,0.0488,0.0057,0.0012,8e-04,0.0024,0.0039,0.0032
2008,"Latvia",2.4,1.9,0.4,11.9,3.7,0.6,45.9,5.6,433.9,1548.1,450.8,5047,970.7,181.1,90.6,10.3,0.2017,0.1597,0.0336,0.3109,0.0504,0.0055,0.0012,9e-04,0.0024,0.0038,0.0033
2009,"Latvia",2.5,1.9,0.4,11.2,3.2,0.6,43.2,5.4,427.8,1424.2,376.8,4681.9,943.2,175.1,84,9.6,0.2232,0.1696,0.0357,0.2857,0.0536,0.0058,0.0013,0.0011,0.0024,0.0034,0.0034
2010,"Latvia",2.5,2.3,0.7,12.3,3.3,0.7,47.8,6.1,423.4,1450.9,394.3,4783.6,937.6,167.8,85.8,9.7,0.2033,0.187,0.0569,0.2683,0.0569,0.0059,0.0016,0.0018,0.0026,0.0035,0.0042
2011,"Latvia",2.5,2.1,0.8,11.5,2.9,0.6,44.7,5.8,423.9,1425.2,389.8,4626.4,925.5,162.1,83.1,9.4,0.2174,0.1826,0.0696,0.2522,0.0522,0.0059,0.0015,0.0021,0.0025,0.0031,0.0037
2012,"Latvia",2.6,1.9,0.9,11.3,2.8,0.6,44.1,5.8,421.7,1417.9,377.3,4563.1,896,157.9,82,9.3,0.2301,0.1681,0.0796,0.2478,0.0531,0.0062,0.0013,0.0024,0.0025,0.0031,0.0038
2013,"Latvia",2.6,2,0.8,11.3,2.8,0.6,43.8,5.8,425.2,1342.3,375.3,4468.9,888.7,151.2,80.4,9.1,0.2301,0.177,0.0708,0.2478,0.0531,0.0061,0.0015,0.0021,0.0025,0.0032,0.004
2014,"Latvia",2.7,1.7,0.8,11.2,3,0.6,43.4,5.8,432.9,1258.2,381.3,4297.6,896.1,145.5,77.4,8.7,0.2411,0.1518,0.0714,0.2679,0.0536,0.0062,0.0014,0.0021,0.0026,0.0033,0.0041
2015,"Latvia",2.8,1.8,0.8,11.3,3.2,0.6,43.7,5.9,433.8,1245.2,376.7,4327.3,913.3,143.2,78,8.8,0.2478,0.1593,0.0708,0.2832,0.0531,0.0065,0.0014,0.0021,0.0026,0.0035,0.0042
2016,"Latvia",2.8,1.9,0.7,11.3,3.2,0.6,43.8,6,434.8,1197.9,373.7,4303.4,932.5,140.1,77.6,8.7,0.2478,0.1681,0.0619,0.2832,0.0531,0.0064,0.0016,0.0019,0.0026,0.0034,0.0043
1990,"Liechtenstein",0,0,0,0.2,0.1,0,100,8,543.3,1675.7,517.2,5649.5,793.2,240.4,100,12,0,0,0,0.5,0,0,0,0,0,1e-04,0
1991,"Liechtenstein",0,0,0,0.2,0.1,0,103.2,8.1,512.1,1641.5,482.5,5555,800.4,244,98.3,11.8,0,0,0,0.5,0,0,0,0,0,1e-04,0
1992,"Liechtenstein",0,0,0,0.2,0.1,0,103.4,8,489.6,1582.7,464,5379.8,823.9,246.1,95.3,11.4,0,0,0,0.5,0,0,0,0,0,1e-04,0
1993,"Liechtenstein",0,0,0,0.2,0.1,0,106.5,8.1,477.2,1515.7,455.4,5281.5,828.3,247,93.6,11.1,0,0,0,0.5,0,0,0,0,0,1e-04,0
1994,"Liechtenstein",0,0,0,0.2,0.1,0,100.6,7.6,471.2,1522.5,483.3,5255.3,834.9,246.6,93.2,11.1,0,0,0,0.5,0,0,0,0,0,1e-04,0
1995,"Liechtenstein",0,0,0,0.2,0.1,0,102.2,7.6,472.6,1524.1,498.4,5308.5,847.3,247.4,94.2,11.2,0,0,0,0.5,0,0,0,0,0,1e-04,0
1996,"Liechtenstein",0,0,0,0.2,0.1,0,103.3,7.6,474.1,1553.4,499.6,5418.7,873.6,246.6,96.2,11.4,0,0,0,0.5,0,0,0,0,0,1e-04,0
1997,"Liechtenstein",0,0,0,0.2,0.1,0,108.8,8,471.1,1508.7,505.1,5326.3,884.9,243.6,94.5,11.2,0,0,0,0.5,0,0,0,0,0,1e-04,0
1998,"Liechtenstein",0,0,0,0.3,0.1,0,113.6,8.2,468.2,1525.5,482.4,5281.5,914.1,240.2,93.8,11,0,0,0,0.3333,0,0,0,0,1e-04,1e-04,0
1999,"Liechtenstein",0,0,0,0.3,0.1,0,112.3,8,466.6,1480.3,442.9,5172.6,932.1,234.7,92,10.8,0,0,0,0.3333,0,0,0,0,1e-04,1e-04,0
2000,"Liechtenstein",0,0,0,0.2,0.1,0,108.3,7.6,461.3,1511.2,455.6,5168.9,926.9,231.5,92.3,10.8,0,0,0,0.5,0,0,0,0,0,1e-04,0
2001,"Liechtenstein",0,0,0,0.2,0.1,0,108.1,7.5,455,1553.5,440.4,5223.1,940,227.4,93.3,10.9,0,0,0,0.5,0,0,0,0,0,1e-04,0
2002,"Liechtenstein",0,0,0,0.3,0.1,0,110.8,7.6,448,1570.5,436.6,5182.9,951.3,223.5,92.4,10.8,0,0,0,0.3333,0,0,0,0,1e-04,1e-04,0
2003,"Liechtenstein",0,0,0,0.3,0.1,0,115.3,7.8,444,1620.7,450.4,5265.6,960.3,217.4,94,10.9,0,0,0,0.3333,0,0,0,0,1e-04,1e-04,0
2004,"Liechtenstein",0,0,0,0.3,0.1,0,115.5,7.7,444.7,1609.2,466.9,5265.4,979.6,208.9,94.1,10.9,0,0,0,0.3333,0,0,0,0,1e-04,1e-04,0
2005,"Liechtenstein",0,0,0,0.3,0.1,0,115.9,7.7,438,1599.2,465.8,5228.4,978.8,202,93.6,10.8,0,0,0,0.3333,0,0,0,0,1e-04,1e-04,0
2006,"Liechtenstein",0,0,0,0.3,0.1,0,117.4,7.7,434.3,1610.2,464.7,5214.5,986,195.8,93.4,10.7,0,0,0,0.3333,0,0,0,0,1e-04,1e-04,0
2007,"Liechtenstein",0,0,0,0.2,0.1,0,104.8,6.8,436.7,1619.7,476,5162.4,995.4,189.1,92.7,10.6,0,0,0,0.5,0,0,0,0,0,1e-04,0
2008,"Liechtenstein",0,0,0,0.3,0.1,0,113.5,7.3,433.9,1548.1,450.8,5047,970.7,181.1,90.6,10.3,0,0,0,0.3333,0,0,0,0,1e-04,1e-04,0
2009,"Liechtenstein",0,0,0,0.2,0.1,0,107.1,6.9,427.8,1424.2,376.8,4681.9,943.2,175.1,84,9.6,0,0,0,0.5,0,0,0,0,0,1e-04,0
2010,"Liechtenstein",0,0,0,0.2,0.1,0,100.6,6.4,423.4,1450.9,394.3,4783.6,937.6,167.8,85.8,9.7,0,0,0,0.5,0,0,0,0,0,1e-04,0
2011,"Liechtenstein",0,0,0,0.2,0.1,0,95,6,423.9,1425.2,389.8,4626.4,925.5,162.1,83.1,9.4,0,0,0,0.5,0,0,0,0,0,1e-04,0
2012,"Liechtenstein",0,0,0,0.2,0.1,0,99.1,6.2,421.7,1417.9,377.3,4563.1,896,157.9,82,9.3,0,0,0,0.5,0,0,0,0,0,1e-04,0
2013,"Liechtenstein",0,0,0,0.2,0.1,0,101.9,6.3,425.2,1342.3,375.3,4468.9,888.7,151.2,80.4,9.1,0,0,0,0.5,0,0,0,0,0,1e-04,0
2014,"Liechtenstein",0,0,0,0.2,0.1,0,88.2,5.4,432.9,1258.2,381.3,4297.6,896.1,145.5,77.4,8.7,0,0,0,0.5,0,0,0,0,0,1e-04,0
2015,"Liechtenstein",0,0,0,0.2,0.1,0,87,5.3,433.8,1245.2,376.7,4327.3,913.3,143.2,78,8.8,0,0,0,0.5,0,0,0,0,0,1e-04,0
2016,"Liechtenstein",0,0,0,0.2,0.1,0,82.3,5,434.8,1197.9,373.7,4303.4,932.5,140.1,77.6,8.7,0,0,0,0.5,0,0,0,0,0,1e-04,0
1990,"Lithuania",9,13.6,4.5,48.2,5.8,1.6,100,13.1,543.3,1675.7,517.2,5649.5,793.2,240.4,100,12,0.1867,0.2822,0.0934,0.1203,0.0332,0.0166,0.0081,0.0087,0.0085,0.0073,0.0067
1991,"Lithuania",8.9,14.6,4.5,50.2,6.4,1.6,104.3,13.7,512.1,1641.5,482.5,5555,800.4,244,98.3,11.8,0.1773,0.2908,0.0896,0.1275,0.0319,0.0174,0.0089,0.0093,0.009,0.008,0.0066
1992,"Lithuania",6.8,8.6,2.7,30.9,4.2,1.6,64,8.4,489.6,1582.7,464,5379.8,823.9,246.1,95.3,11.4,0.2201,0.2783,0.0874,0.1359,0.0518,0.0139,0.0054,0.0058,0.0057,0.0051,0.0065
1993,"Lithuania",5.5,7.3,1.7,24.8,3.2,1.6,51.3,6.8,477.2,1515.7,455.4,5281.5,828.3,247,93.6,11.1,0.2218,0.2944,0.0685,0.129,0.0645,0.0115,0.0048,0.0037,0.0047,0.0039,0.0065
1994,"Lithuania",4.8,7.2,1.9,23.4,2.6,1.5,48.3,6.4,471.2,1522.5,483.3,5255.3,834.9,246.6,93.2,11.1,0.2051,0.3077,0.0812,0.1111,0.0641,0.0102,0.0047,0.0039,0.0045,0.0031,0.0061
1995,"Lithuania",4.5,6.4,2.2,22.3,3.1,1.6,46.2,6.2,472.6,1524.1,498.4,5308.5,847.3,247.4,94.2,11.2,0.2018,0.287,0.0987,0.139,0.0717,0.0095,0.0042,0.0044,0.0042,0.0037,0.0065
1996,"Lithuania",4.7,7.1,2.6,23.4,3.4,1.6,48.3,6.5,474.1,1553.4,499.6,5418.7,873.6,246.6,96.2,11.4,0.2009,0.3034,0.1111,0.1453,0.0684,0.0099,0.0046,0.0052,0.0043,0.0039,0.0065
1997,"Lithuania",4.7,6.5,2.6,22.9,3.8,1.6,47.3,6.4,471.1,1508.7,505.1,5326.3,884.9,243.6,94.5,11.2,0.2052,0.2838,0.1135,0.1659,0.0699,0.01,0.0043,0.0051,0.0043,0.0043,0.0066
1998,"Lithuania",4.6,7.3,3,23.8,4,1.6,49.2,6.7,468.2,1525.5,482.4,5281.5,914.1,240.2,93.8,11,0.1933,0.3067,0.1261,0.1681,0.0672,0.0098,0.0048,0.0062,0.0045,0.0044,0.0067
1999,"Lithuania",4.2,5.9,2.9,21.1,3.6,1.5,43.5,6,466.6,1480.3,442.9,5172.6,932.1,234.7,92,10.8,0.1991,0.2796,0.1374,0.1706,0.0711,0.009,0.004,0.0065,0.0041,0.0039,0.0064
2000,"Lithuania",4.1,5.1,3.1,19.5,3.2,1.5,40.3,5.6,461.3,1511.2,455.6,5168.9,926.9,231.5,92.3,10.8,0.2103,0.2615,0.159,0.1641,0.0769,0.0089,0.0034,0.0068,0.0038,0.0035,0.0065
2001,"Lithuania",3.9,5.5,3.3,20.3,3.4,1.6,41.9,5.9,455,1553.5,440.4,5223.1,940,227.4,93.3,10.9,0.1921,0.2709,0.1626,0.1675,0.0788,0.0086,0.0035,0.0075,0.0039,0.0036,0.007
2002,"Lithuania",4.1,5.4,3.5,20.6,3.6,1.6,42.7,6,448,1570.5,436.6,5182.9,951.3,223.5,92.4,10.8,0.199,0.2621,0.1699,0.1748,0.0777,0.0092,0.0034,0.008,0.004,0.0038,0.0072
2003,"Lithuania",4.1,5.2,3.6,20.8,3.6,1.6,43,6.1,444,1620.7,450.4,5265.6,960.3,217.4,94,10.9,0.1971,0.25,0.1731,0.1731,0.0769,0.0092,0.0032,0.008,0.004,0.0037,0.0074
2004,"Lithuania",4.2,5.4,3.8,21.6,4,1.5,44.8,6.4,444.7,1609.2,466.9,5265.4,979.6,208.9,94.1,10.9,0.1944,0.25,0.1759,0.1852,0.0694,0.0094,0.0034,0.0081,0.0041,0.0041,0.0072
2005,"Lithuania",4.2,5.7,4.1,22.8,4.2,1.5,47.3,6.9,438,1599.2,465.8,5228.4,978.8,202,93.6,10.8,0.1842,0.25,0.1798,0.1842,0.0658,0.0096,0.0036,0.0088,0.0044,0.0043,0.0074
2006,"Lithuania",4.2,5.2,4.4,23.1,4.5,1.5,48,7.1,434.3,1610.2,464.7,5214.5,986,195.8,93.4,10.7,0.1818,0.2251,0.1905,0.1948,0.0649,0.0097,0.0032,0.0095,0.0044,0.0046,0.0077
2007,"Lithuania",4.3,4.7,6.1,25.3,5.2,1.4,52.5,7.9,436.7,1619.7,476,5162.4,995.4,189.1,92.7,10.6,0.17,0.1858,0.2411,0.2055,0.0553,0.0098,0.0029,0.0128,0.0049,0.0052,0.0074
2008,"Lithuania",4.2,4.8,5.5,24.3,5.2,1.4,50.6,7.7,433.9,1548.1,450.8,5047,970.7,181.1,90.6,10.3,0.1728,0.1975,0.2263,0.214,0.0576,0.0097,0.0031,0.0122,0.0048,0.0054,0.0077
2009,"Lithuania",4.3,4.8,2.3,19.9,4.3,1.4,41.2,6.3,427.8,1424.2,376.8,4681.9,943.2,175.1,84,9.6,0.2161,0.2412,0.1156,0.2161,0.0704,0.0101,0.0034,0.0061,0.0043,0.0046,0.008
2010,"Lithuania",4.3,5.3,2.2,20.7,4.4,1.3,43,6.7,423.4,1450.9,394.3,4783.6,937.6,167.8,85.8,9.7,0.2077,0.256,0.1063,0.2126,0.0628,0.0102,0.0037,0.0056,0.0043,0.0047,0.0077
2011,"Lithuania",4.3,4.5,3.7,21.3,4.4,1.2,44.2,7.1,423.9,1425.2,389.8,4626.4,925.5,162.1,83.1,9.4,0.2019,0.2113,0.1737,0.2066,0.0563,0.0101,0.0032,0.0095,0.0046,0.0048,0.0074
2012,"Lithuania",4.4,4.4,3.6,21.2,4.4,1.2,44.1,7.2,421.7,1417.9,377.3,4563.1,896,157.9,82,9.3,0.2075,0.2075,0.1698,0.2075,0.0566,0.0104,0.0031,0.0095,0.0046,0.0049,0.0076
2013,"Lithuania",4.4,3.9,3,19.9,4.4,1.2,41.6,6.8,425.2,1342.3,375.3,4468.9,888.7,151.2,80.4,9.1,0.2211,0.196,0.1508,0.2211,0.0603,0.0103,0.0029,0.008,0.0045,0.005,0.0079
2014,"Lithuania",4.6,3.2,3.2,19.9,4.9,1.1,41.5,6.9,432.9,1258.2,381.3,4297.6,896.1,145.5,77.4,8.7,0.2312,0.1608,0.1608,0.2462,0.0553,0.0106,0.0025,0.0084,0.0046,0.0055,0.0076
2015,"Lithuania",4.6,3.2,3.5,20.2,5.1,1,42.1,7,433.8,1245.2,376.7,4327.3,913.3,143.2,78,8.8,0.2277,0.1584,0.1733,0.2525,0.0495,0.0106,0.0026,0.0093,0.0047,0.0056,0.007
2016,"Lithuania",4.5,3,3.3,20.2,5.5,1,42,7.1,434.8,1197.9,373.7,4303.4,932.5,140.1,77.6,8.7,0.2228,0.1485,0.1634,0.2723,0.0495,0.0103,0.0025,0.0088,0.0047,0.0059,0.0071
1990,"Luxembourg",0.7,0,1.6,12.8,2.6,0.1,100,34.5,543.3,1675.7,517.2,5649.5,793.2,240.4,100,12,0.0547,0,0.125,0.2031,0.0078,0.0013,0,0.0031,0.0023,0.0033,4e-04
1991,"Luxembourg",0.7,0,1.6,13.4,3.2,0.1,104.9,35.7,512.1,1641.5,482.5,5555,800.4,244,98.3,11.8,0.0522,0,0.1194,0.2388,0.0075,0.0014,0,0.0033,0.0024,0.004,4e-04
1992,"Luxembourg",0.7,0,1.5,13.1,3.5,0.1,102.9,34.6,489.6,1582.7,464,5379.8,823.9,246.1,95.3,11.4,0.0534,0,0.1145,0.2672,0.0076,0.0014,0,0.0032,0.0024,0.0042,4e-04
1993,"Luxembourg",0.7,0,1.5,13.3,3.5,0.1,103.9,34.5,477.2,1515.7,455.4,5281.5,828.3,247,93.6,11.1,0.0526,0,0.1128,0.2632,0.0075,0.0015,0,0.0033,0.0025,0.0042,4e-04
1994,"Luxembourg",0.7,0,1.4,12.5,3.6,0.1,98.4,32.2,471.2,1522.5,483.3,5255.3,834.9,246.6,93.2,11.1,0.056,0,0.112,0.288,0.008,0.0015,0,0.0029,0.0024,0.0043,4e-04
1995,"Luxembourg",0.7,0.1,1,10.1,3.4,0.1,80.9,26.1,472.6,1524.1,498.4,5308.5,847.3,247.4,94.2,11.2,0.0693,0.0099,0.099,0.3366,0.0099,0.0015,1e-04,0.002,0.0019,0.004,4e-04
1996,"Luxembourg",0.7,0.1,1,10.2,3.5,0.1,81.7,26,474.1,1553.4,499.6,5418.7,873.6,246.6,96.2,11.4,0.0686,0.0098,0.098,0.3431,0.0098,0.0015,1e-04,0.002,0.0019,0.004,4e-04
1997,"Luxembourg",0.7,0.1,0.9,9.5,3.7,0.1,77.7,24.4,471.1,1508.7,505.1,5326.3,884.9,243.6,94.5,11.2,0.0737,0.0105,0.0947,0.3895,0.0105,0.0015,1e-04,0.0018,0.0018,0.0042,4e-04
1998,"Luxembourg",0.7,0.2,0.7,8.6,3.9,0.1,72.2,22.4,468.2,1525.5,482.4,5281.5,914.1,240.2,93.8,11,0.0814,0.0233,0.0814,0.4535,0.0116,0.0015,1e-04,0.0015,0.0016,0.0043,4e-04
1999,"Luxembourg",0.7,0.2,0.8,9.1,4.2,0.1,76.6,23.4,466.6,1480.3,442.9,5172.6,932.1,234.7,92,10.8,0.0769,0.022,0.0879,0.4615,0.011,0.0015,1e-04,0.0018,0.0018,0.0045,4e-04
2000,"Luxembourg",0.7,0.1,0.8,9.7,4.9,0.1,80.6,24.3,461.3,1511.2,455.6,5168.9,926.9,231.5,92.3,10.8,0.0722,0.0103,0.0825,0.5052,0.0103,0.0015,1e-04,0.0018,0.0019,0.0053,4e-04
2001,"Luxembourg",0.7,0.3,0.7,10.2,5.1,0.1,84.9,25.3,455,1553.5,440.4,5223.1,940,227.4,93.3,10.9,0.0686,0.0294,0.0686,0.5,0.0098,0.0015,2e-04,0.0016,0.002,0.0054,4e-04
2002,"Luxembourg",0.7,1,0.8,10.9,5.3,0.1,91.4,27,448,1570.5,436.6,5182.9,951.3,223.5,92.4,10.8,0.0642,0.0917,0.0734,0.4862,0.0092,0.0016,6e-04,0.0018,0.0021,0.0056,4e-04
2003,"Luxembourg",0.6,1,0.7,11.4,5.9,0.1,95.1,27.7,444,1620.7,450.4,5265.6,960.3,217.4,94,10.9,0.0526,0.0877,0.0614,0.5175,0.0088,0.0014,6e-04,0.0016,0.0022,0.0061,5e-04
2004,"Luxembourg",0.7,1.3,0.8,12.8,6.8,0.1,106.4,30.6,444.7,1609.2,466.9,5265.4,979.6,208.9,94.1,10.9,0.0547,0.1016,0.0625,0.5312,0.0078,0.0016,8e-04,0.0017,0.0024,0.0069,5e-04
2005,"Luxembourg",0.6,1.2,0.7,13,7.2,0.1,108.5,30.7,438,1599.2,465.8,5228.4,978.8,202,93.6,10.8,0.0462,0.0923,0.0538,0.5538,0.0077,0.0014,8e-04,0.0015,0.0025,0.0074,5e-04
2006,"Luxembourg",0.6,1.3,0.8,12.9,6.9,0.1,106.5,29.7,434.3,1610.2,464.7,5214.5,986,195.8,93.4,10.7,0.0465,0.1008,0.062,0.5349,0.0078,0.0014,8e-04,0.0017,0.0025,0.007,5e-04
2007,"Luxembourg",0.6,1.2,0.8,12.3,6.6,0.1,102.8,28.2,436.7,1619.7,476,5162.4,995.4,189.1,92.7,10.6,0.0488,0.0976,0.065,0.5366,0.0081,0.0014,7e-04,0.0017,0.0024,0.0066,5e-04
2008,"Luxembourg",0.7,1,0.7,12.2,6.7,0.1,101.9,27.5,433.9,1548.1,450.8,5047,970.7,181.1,90.6,10.3,0.0574,0.082,0.0574,0.5492,0.0082,0.0016,6e-04,0.0016,0.0024,0.0069,6e-04
2009,"Luxembourg",0.7,1.2,0.7,11.6,6.2,0.1,97.4,25.8,427.8,1424.2,376.8,4681.9,943.2,175.1,84,9.6,0.0603,0.1034,0.0603,0.5345,0.0086,0.0016,8e-04,0.0019,0.0025,0.0066,6e-04
2010,"Luxembourg",0.7,1.2,0.7,12.2,6.5,0.1,102,26.5,423.4,1450.9,394.3,4783.6,937.6,167.8,85.8,9.7,0.0574,0.0984,0.0574,0.5328,0.0082,0.0017,8e-04,0.0018,0.0026,0.0069,6e-04
